name,description,target_amount,minbudget,maxbudget,datedebut,datefin,progress,status,objectivetype,isStatic,completed
Out where.,Son law partner outside situation cover pressure region. Value whatever school beautiful explain while. Clearly allow sister.,48703,24351,73054,2023-11-09,2024-03-02,45.64095073646507,Completed,COST_REDUCTION,True,0
Already today.,Cup should his decade agree order total leader. Matter grow item hope financial. Push coach shoulder per meet whose environment.,39994,19997,59991,2023-05-10,2025-08-31,78.80140135073943,Failed,BUDGET,False,1
Group argue.,"Now recognize current should onto interest. Year hand research just across speak police. Either exactly perform buy feel.
Other trial her.",30533,15266,45799,2024-05-08,2025-08-27,78.66551551014052,Completed,BUDGET,False,0
Which daughter thank.,"Price himself continue almost development letter visit. Safe remain president important pull yourself.
Return tend against dark detail tend deep. Animal push piece.",73458,36729,110187,2025-03-15,2025-11-29,45.11296254244008,InProgress,INVESTMENT,False,0
International grow.,"Help lot win road notice kid. Ten before sit anything develop hundred anyone.
Can where staff ten purpose certain left. Foot challenge similar always high. Majority employee ago.",73259,36629,109888,2023-10-30,2025-05-25,32.372266848236166,InProgress,BUDGET,False,0
Raise finish.,"Remain leg glass majority. Without Mrs they.
Reach usually activity really. Inside yard when return cost Republican measure although. Take piece decision him avoid go.",56073,28036,84109,2024-08-17,2025-08-29,26.463153652327755,Completed,EXPENSE_CONTROL,False,0
Build ever science talk.,"Step east man receive team skin either. Along account treatment clearly. Other player democratic gas wife rather economy.
Think despite morning. Quickly ever easy wait ago pull morning.",41262,20631,61893,2023-08-07,2024-05-12,79.16474702015866,Failed,DEBT_MANAGEMENT,True,1
From study provide.,"Minute health country ago foot enjoy.
Hundred black develop. Large white long film become tend.",94862,47431,142293,2025-04-09,2025-11-23,19.598683000125128,InProgress,BUDGET,False,0
Likely cup.,Include anything mouth notice every ever.,56849,28424,85273,2023-06-08,2025-05-12,75.31191745783676,Completed,EXPENSE_CONTROL,False,1
Radio administration.,"Education order player term. Hundred beyond positive official sit.
Indicate before certain money. Hour six develop value. Loss bill by.
Animal minute tree spring yet.",96033,48016,144049,2024-06-27,2024-08-23,36.50959461307573,Failed,TAX_OPTIMIZATION,True,0
Baby activity others.,"Marriage identify recognize nor. Dinner hope happy key case water century.
Structure dog sign difficult bad support know. Age public would pull various score.",68473,34236,102709,2025-02-12,2025-03-22,76.13526803875865,InProgress,INVESTMENT,False,0
Small admit.,"Market speech box picture fall. Dark example benefit fear service.
Book stand effect able week scientist. Page your tax wide hospital public game much. Visit class young voice.",56256,28128,84384,2023-07-14,2025-12-08,41.94801723858169,Completed,REVENUE_GROWTH,False,0
Light case.,"Space interest suddenly. Capital teacher develop research work speak although.
Loss color lay black career sport yeah. Second forget ever professor why. Chair again mean admit.",38954,19477,58431,2024-10-09,2026-01-18,35.55812264821443,Failed,TAX_OPTIMIZATION,False,0
Cultural level put yourself.,"Line save data marriage subject. Part choice write discover popular state.
Everyone learn can show energy enough most. Policy expert could.",26875,13437,40312,2023-09-30,2024-09-13,13.586754634313303,Failed,PROFIT_MARGIN,False,0
School already our.,On much though position property thus. Tree live response smile. Free tell ability today sometimes hold. Threat while wall almost.,50779,25389,76168,2023-08-08,2023-09-16,66.7837041863735,InProgress,TAX_OPTIMIZATION,False,0
Bag seem nature.,Best good wall card a although. Alone region Republican heart. System rock or culture activity none. Manager road as middle director option.,72411,36205,108616,2024-02-14,2026-02-03,99.41659534879103,Completed,EXPENSE_CONTROL,True,0
Lay.,"General tend team news above. Lot successful over reveal apply base. Pull left fill institution true message.
Mr remain computer single up head. Chance movie despite allow.",78741,39370,118111,2023-08-15,2026-02-12,65.60115444186759,Failed,REVENUE_GROWTH,True,1
I state.,"Various staff improve war. Part create game agree reason.
Growth finish since per. Away war bag only medical. Main cold me.",90047,45023,135070,2024-06-04,2025-03-30,36.706155692939376,Failed,PROFIT_MARGIN,False,0
Return imagine somebody.,"Area off land. Game and senior common. Treat support process media. Less maintain rise detail help.
With full we take word. Also still matter pull.",78544,39272,117816,2024-02-10,2024-09-23,99.8682516151535,Failed,BUDGET,False,0
Yet spring head.,"Social treatment when gun dark. Believe sing shoulder both. Industry official animal.
Cost school alone loss sort ask this avoid. Since small common sense everyone process value.",28867,14433,43300,2024-08-31,2026-02-20,24.83740448254428,InProgress,EXPENSE_CONTROL,False,0
Base performance air.,"Yet practice box human figure personal. Culture beat hour effort media threat option. Have minute debate here success.
Throughout late record tell. Manager trial beautiful.",65965,32982,98947,2024-07-17,2025-03-04,76.51408626254951,Completed,PROFIT_MARGIN,False,1
Fast level become.,"A computer thousand street assume office question color. Something provide meet mouth billion. Cause certain let whose.
Often laugh election paper art early bed reflect. Night decide process soldier.",83761,41880,125641,2023-10-12,2024-07-04,84.4464213062937,Failed,PROFIT_MARGIN,True,0
Industry possible.,Single trade forget police finish peace consumer. Small data newspaper usually tree future total. Grow marriage pretty follow. Walk their our method risk.,73394,36697,110091,2024-08-28,2026-01-10,29.68925101457972,Completed,EXPENSE_CONTROL,True,0
Audience use.,"Number mind may scene peace.
Protect paper personal enter discussion yard land. Concern he view idea social contain listen.",96365,48182,144547,2024-08-07,2024-12-20,36.76541903627606,Failed,PROFIT_MARGIN,False,0
Study event east.,"Investment animal indicate know.
Whose everybody thus Congress.
Stuff raise eat body morning. Natural stuff part everybody physical board morning. Find Democrat yourself so run base stop if.",9918,4959,14877,2024-03-30,2024-11-18,36.45701992441506,Failed,TAX_OPTIMIZATION,False,0
Hair of Congress.,Ahead college family return might. Environment perform page pressure investment. Recognize wait live before director include four.,15336,7668,23004,2024-12-08,2025-07-05,27.975999343783375,InProgress,CASH_FLOW,False,0
Speech person single.,"Simply shake course manage church material box. Particularly Republican us different mention maintain indeed. As blue when time.
Our agency them them. Condition low detail subject professor.",91055,45527,136582,2025-04-19,2025-07-28,80.96450161108703,Completed,CASH_FLOW,True,0
Season water new.,"Care support return six place. Goal eat operation base president out. Local west that argue.
Expert whatever personal late dinner. Good operation institution miss commercial you.",40375,20187,60562,2025-04-05,2025-08-15,78.44999219370084,Completed,PROFIT_MARGIN,True,1
Science man voice.,"Enter and attack about. Page machine economic. Last picture success wife few.
Single particular such expect defense. Stage pattern crime nearly agency. Blue another message us director.",95375,47687,143062,2024-03-19,2025-12-23,65.72429179098556,Failed,DEBT_MANAGEMENT,True,0
Sound partner concern.,"Owner behind customer send plant most. Pass one everybody build blood need management approach.
Call season prevent exactly. Read pick forget spend pretty. Pressure party no open.",64283,32141,96424,2025-02-22,2025-05-16,71.91720299671375,Failed,COST_REDUCTION,False,0
Join share job.,"Box task receive improve dream much plant. Yet as week sit practice respond.
Be step significant financial same likely most.
Window will live player. Arm all reveal dog. Box TV beyond whole see edge.",74724,37362,112086,2023-06-09,2024-04-26,57.41022695198572,InProgress,CASH_FLOW,True,0
Clear right.,"System would teacher determine forward project walk. Exactly poor try perform outside us its.
Impact everybody might. Board both possible. Too leader century.",51611,25805,77416,2023-07-10,2024-04-05,38.34398208668648,Completed,PROFIT_MARGIN,True,0
Create rich.,"Move service fish letter notice send. Sure season network question fine.
Occur on person stay.
Smile himself hair forward you front check spend. Early imagine away argue hold.",26492,13246,39738,2023-12-05,2025-08-06,24.35711788131303,Completed,TAX_OPTIMIZATION,True,0
Wear speech.,Consumer effect with child easy job believe church. Staff as try key here. Experience table military into sister.,85272,42636,127908,2025-01-22,2025-06-12,13.375663411773797,Completed,BUDGET,True,0
Real despite.,Around establish sort member eye street likely. Stuff ball game. Prepare friend boy whether about pressure.,4846,2423,7269,2024-09-18,2025-10-07,96.28350180120263,InProgress,REVENUE_GROWTH,True,1
Tonight police become.,Agreement sit song. Next alone vote ok eye customer visit.,44165,22082,66247,2023-09-16,2025-11-29,6.166845233392393,Completed,TAX_OPTIMIZATION,False,0
Ahead her.,Worker wait face decision. Model consumer student very she change. Increase decision remember task like standard rich.,93869,46934,140803,2024-10-21,2025-12-10,84.13640870693762,Failed,CASH_FLOW,False,0
Check purpose.,Explain once article reach account leg. Anything any seek but positive. Yard one area put.,55403,27701,83104,2023-11-25,2025-08-19,13.50855703984486,Completed,TAX_OPTIMIZATION,False,0
Chair current piece.,"Worker hear idea citizen. Race pull control along ever happy series would.
Reduce force choose history follow. Order general information old get.",16395,8197,24592,2024-07-26,2024-09-13,72.10481640572985,Completed,DEBT_MANAGEMENT,False,0
Imagine up Mrs.,My mean see similar huge throughout. Else practice analysis writer industry edge. Left once various.,76604,38302,114906,2024-01-05,2024-05-02,4.592239750213389,Failed,TAX_OPTIMIZATION,True,0
Suffer trial nice.,"Training term point step allow. Certainly dark buy world. Task group performance yeah.
Popular write call candidate. Of hot detail day.
Situation life story name special.
Series culture will travel.",27767,13883,41650,2024-01-02,2026-01-05,32.914343311282,Completed,COST_REDUCTION,True,0
During century moment.,"Might treat week. Commercial later evening. Night laugh catch own.
Growth away outside executive view. Especially meeting understand. Prepare she design information.",5562,2781,8343,2024-09-23,2025-02-16,94.44022412149752,InProgress,EXPENSE_CONTROL,False,1
Bad everybody.,"Whole exactly benefit result mother. Board dark seem medical may everything. That film model pressure.
Usually join Mr rule least design.",98745,49372,148117,2025-03-08,2025-10-13,96.87182768881576,Failed,INVESTMENT,True,1
Put drop not.,"Beat offer turn both interest. Structure deep visit though suffer. Themselves because tree have.
Attack would anything huge effect. Summer character region modern.",15220,7610,22830,2024-01-27,2025-12-05,71.52398140230221,Failed,EXPENSE_CONTROL,True,0
Child show.,Special and each happen specific receive example. Lead hit thus behavior effect. Structure change best service sometimes court writer. Sign himself will citizen.,5806,2903,8709,2024-01-24,2025-10-24,65.53636437991399,InProgress,DEBT_MANAGEMENT,False,0
Lay possible check.,"Camera idea blood president. Public alone them live interest perform. Summer be family.
Study put kid magazine. Mention hard war. Thought seat place worry action.",63785,31892,95677,2023-07-23,2024-12-06,77.24716579729022,Completed,BUDGET,True,0
Above work personal.,"Federal turn soon former. Inside style fight this group religious trouble.
Rock later indeed training. West edge sport.
Change range only. May someone ability ok firm nice bad.",85879,42939,128818,2024-06-19,2025-10-28,33.46480014772348,Completed,BUDGET,True,0
Free history husband.,"Situation standard close traditional audience else. Low including local thank understand I. Job interest dark lot image all world.
Organization something apply computer similar.",12533,6266,18799,2023-09-14,2024-05-31,41.078674853200205,InProgress,REVENUE_GROWTH,True,0
Among chair center.,Newspaper ago early peace professional material actually. Central my also example important nor. Imagine cover building line.,73677,36838,110515,2024-10-10,2025-02-10,49.44660969205745,Completed,BUDGET,True,0
Machine race war.,"Amount color or always around ok party. Onto director social hit usually clear know live.
Character send senior. Benefit similar note again industry both.",50085,25042,75127,2023-11-09,2024-12-08,14.486242649182513,Completed,CASH_FLOW,True,0
Personal offer.,"Kind prove industry religious opportunity month. Set you ever audience forward remain. Their best ability feeling top.
Second again though scientist doctor. Expect gun whose threat economy.",1763,881,2644,2023-10-18,2025-12-26,36.451491638167866,Completed,INVESTMENT,False,0
Religious early.,Rock affect teach two oil hotel employee evidence. Remember doctor owner raise later. Term agree pull wife measure.,50234,25117,75351,2024-09-26,2025-06-13,14.862774564202608,Completed,CASH_FLOW,False,0
Letter left process.,Low impact beautiful south during. Leader later federal listen church success. Official respond foreign eat least group agent.,1867,933,2800,2024-08-21,2025-03-06,41.15343983178472,InProgress,COST_REDUCTION,False,0
Scientist same police.,Front after myself necessary Congress culture trip between. Challenge occur moment smile lead contain prevent discuss. Civil least line product and shoulder edge.,3168,1584,4752,2025-03-29,2025-05-16,12.727865826991724,Completed,PROFIT_MARGIN,False,0
Experience sister shoulder.,"On note machine suddenly today. Alone two whatever language card. Company stage easy new responsibility hospital.
Whole cup party store condition enjoy. Body crime involve know.",18630,9315,27945,2023-07-04,2024-07-18,85.02088271412731,Failed,BUDGET,False,0
Break agency interest.,"Doctor same there must movement. Bring then on exist stage matter game choice. Participant value everybody film.
Particular vote might business dinner.",92191,46095,138286,2023-04-20,2024-06-03,68.85325199331685,InProgress,EXPENSE_CONTROL,True,0
Gun think down take.,Mission agent certain. Decide rock sit feeling can line. Run ground little top speech. Store where education here ahead.,27181,13590,40771,2023-11-19,2025-04-23,70.11998260064787,Failed,EXPENSE_CONTROL,False,1
Total morning.,"Arm former pay behavior bad also. Sign so center contain structure our meet. Reach road rate civil.
Health require common time. Cold create either only allow easy matter. Affect hot paper.",21571,10785,32356,2023-10-13,2025-01-28,47.011096807202414,InProgress,REVENUE_GROWTH,False,0
Add.,"Specific ok point job hundred read stage area. Under officer cost would coach.
Listen machine artist. Control play pattern other think shoulder sea.",87081,43540,130621,2024-10-10,2025-07-22,26.428974906565983,Failed,TAX_OPTIMIZATION,True,0
Type your.,"Address book word what. Citizen young right population.
Yeah vote trade her. Apply really responsibility letter alone exactly.",87553,43776,131329,2024-05-14,2024-11-16,43.67510188974049,Failed,PROFIT_MARGIN,False,0
Family specific five night.,"Institution deep take. Fill you hundred. Where still stay human participant movie true.
Move green idea standard. View rate any husband clearly character first. Expert buy century.",33754,16877,50631,2023-07-09,2024-09-23,29.613908271715637,Completed,DEBT_MANAGEMENT,False,0
Tv black quality.,Nature himself source eye current win. Official fine identify song dream represent month. Time job they subject door. Another stay sister both.,16849,8424,25273,2023-05-05,2023-05-28,6.730551475902857,Failed,DEBT_MANAGEMENT,False,0
Four girl above.,Visit agency top main mission everybody keep. See treatment name west continue. Take dog character space floor address. Person interview road owner ground.,87830,43915,131745,2024-11-17,2025-07-15,71.6852151571155,Failed,INVESTMENT,False,1
There impact accept.,"Blood tree owner. Career bed dark. Science most always save.
Page head able special back.
Along never experience agent pass sometimes.",53965,26982,80947,2024-06-11,2024-09-04,32.092287607825696,Completed,CASH_FLOW,True,0
Statement newspaper everyone relationship.,Audience best discover nor address. Time across thousand world situation phone set. Hospital under present name physical seem physical. Because five dream security.,83747,41873,125620,2024-03-05,2025-03-21,71.70226578848344,Failed,PROFIT_MARGIN,True,1
Couple mention.,Wind this culture leave former common to by. Quite between candidate hot with. Throw guy east. Old respond buy structure without.,9976,4988,14964,2023-07-08,2025-07-11,74.36719495133613,InProgress,DEBT_MANAGEMENT,False,1
Per back.,Operation rather at interesting part. Between pattern edge two yard. Daughter great civil you rule knowledge.,2155,1077,3232,2023-10-05,2026-03-31,45.88972667984223,Completed,COST_REDUCTION,False,0
Every describe.,"Travel program law house writer hand history outside. Floor guess already court real inside level. Audience model else she.
Employee care mention practice to best two. Father other everybody late.",21056,10528,31584,2024-10-14,2025-10-26,31.692060187948424,InProgress,EXPENSE_CONTROL,True,0
I air fact.,"Information inside data crime no every total. Usually drop network agent hair art white car.
Show case work although policy also same call. Series message whole make environmental next.",88527,44263,132790,2024-11-26,2025-07-04,50.123009357814475,InProgress,REVENUE_GROWTH,True,0
Discussion whom event.,Only picture media I. Whose these may their off. Important story question hotel city cost ask travel.,64633,32316,96949,2023-09-09,2023-10-08,67.50095178633356,InProgress,REVENUE_GROWTH,True,0
Avoid room east.,"Discover movement service central necessary range already. Case fire occur indeed first. Book series source close.
Poor address writer executive play type contain success. Notice my party firm.",56236,28118,84354,2024-08-14,2025-07-06,87.98195702941169,Completed,INVESTMENT,False,0
Campaign measure factor.,"Few there a feeling international. Relationship energy change majority. Audience raise three take give data.
Skin international feeling customer huge. Improve only nothing owner.",60130,30065,90195,2023-11-21,2024-07-13,36.79457553646749,Failed,EXPENSE_CONTROL,False,0
Exist skin.,When become factor energy sing appear field. Alone risk notice example difficult hour eat figure. Field involve middle why federal.,43812,21906,65718,2023-12-03,2025-05-20,10.597309599479344,InProgress,DEBT_MANAGEMENT,True,0
Season hot want.,Past can condition minute. Financial which citizen window son good north. Old investment also leader use business certainly. Provide student player behind.,32463,16231,48694,2025-02-18,2025-08-22,68.82872682953301,Failed,TAX_OPTIMIZATION,True,0
What get time.,"World hope skin position protect admit.
Glass fish benefit. Out I into always situation argue. Treatment enjoy follow.",83188,41594,124782,2024-11-10,2025-07-15,19.416127999134304,Completed,TAX_OPTIMIZATION,False,0
However sense report.,Food teach day administration expect we. Same lose media hit send material. Participant school past enjoy thought.,97210,48605,145815,2024-04-11,2025-08-24,67.99957859856396,Completed,INVESTMENT,False,0
Ten manager.,"Herself old machine send. Hour young water according.
Drop both often interest hour strategy as. Score box arm.",31653,15826,47479,2023-11-05,2024-11-19,33.37949466650573,Completed,PROFIT_MARGIN,False,0
Include.,"Sort pretty statement as. Plan police behavior bed material choice.
Itself get represent interesting new key. Term war easy race market carry. Present create claim radio feel education.",55596,27798,83394,2023-09-15,2024-01-04,50.49292278272435,Failed,REVENUE_GROWTH,True,1
Provide then force keep.,"Produce law right. Should environment factor true remember choice. Defense gun town.
Thousand serve baby trouble couple stand religious. Respond doctor stay quality leader cut.",51775,25887,77662,2024-06-15,2024-08-05,67.13667304517185,InProgress,CASH_FLOW,False,0
Grow movement experience.,"Gas over thousand office. Fast or staff make.
See ten small look hear tax its. Much garden measure hit yeah.
Time beyond now whatever customer month. Than fund support.",84596,42298,126894,2024-02-22,2024-12-30,1.903898252156211,InProgress,DEBT_MANAGEMENT,False,0
Lot future everybody.,"History bar laugh sport. Get each happy fall find find.
Recently power turn part opportunity building news. Body newspaper worry protect.",49775,24887,74662,2025-03-10,2025-05-26,22.73768157236956,Failed,TAX_OPTIMIZATION,True,0
Behavior show specific.,"Shake night face difficult particular create. Under go trade student executive natural car event.
Scientist spring never floor. Ok may power old.
Partner young check fire.",57934,28967,86901,2024-10-14,2024-10-23,69.22136744178309,InProgress,COST_REDUCTION,False,0
Son impact way.,Important affect reduce history mouth arrive try. Tell avoid west three place hold expect five. Dream charge they shake area better how.,45520,22760,68280,2023-07-16,2025-05-26,19.120978741213623,Completed,EXPENSE_CONTROL,True,0
Increase detail.,"View whatever adult drop throw fact. Nature finally realize speech.
State nor live away occur late group born. System accept star then up.",45001,22500,67501,2024-10-30,2025-01-05,75.83104196216453,Failed,DEBT_MANAGEMENT,False,1
Provide fly.,"Thousand involve goal force agreement. Figure drive strong. System must maintain way. Spend Republican ten.
Bring moment possible break.
Consider entire thus party myself available sell.",70146,35073,105219,2024-09-04,2025-02-13,66.67452041984515,Failed,CASH_FLOW,False,0
Yeah for next.,"Toward increase rock prepare form. Expect age deep collection ground ground Congress.
Government brother yourself expert off son. Order study newspaper under interest third.",47303,23651,70954,2024-09-13,2025-12-13,21.62005625350305,Failed,COST_REDUCTION,False,0
Speak answer those.,"Thousand stock study no sense current. Seat activity which resource present enter. Summer health pick later generation before.
Rock school full. Develop far eat where six. Knowledge go effect.",87949,43974,131923,2024-02-01,2026-01-25,40.16345246197034,InProgress,TAX_OPTIMIZATION,True,0
Prepare room.,"Still population guess provide order receive production. Force employee summer today since throw.
Business pay all drug. Ground I cultural term.",3568,1784,5352,2024-11-12,2025-04-04,23.681162424495305,Completed,BUDGET,False,0
West certainly.,Science cover week mission prepare. Toward discussion place catch century recognize relate moment. Sit member whole about create. Star study group top thing star.,42013,21006,63019,2023-10-29,2026-01-31,41.46417016026809,Failed,REVENUE_GROWTH,True,0
Far yet on.,Guess several receive. Short threat physical beat car exactly car. Team feel by gun on peace process.,30052,15026,45078,2024-09-07,2025-08-09,80.48921963846448,Completed,REVENUE_GROWTH,True,0
Without top.,"Assume statement great sing sit share. Article term first forward generation usually.
Knowledge deep deep customer get. Summer subject far standard according use. Not soon public tell your.",88256,44128,132384,2024-05-31,2024-10-16,99.12222119000866,Completed,EXPENSE_CONTROL,False,1
Surface fund inside.,"Ahead participant to your serve. Such student save. Federal dog each machine him.
He strategy ever participant real great. Court decision north security. Buy other short will.",74615,37307,111922,2023-11-07,2024-07-09,5.477642323492471,InProgress,REVENUE_GROWTH,False,0
Sound arrive.,Government fear last so still. Smile career direction sit make. Act war serious a full religious beyond partner. Analysis off practice language central may image.,17449,8724,26173,2024-10-14,2025-06-20,12.380742008904877,Failed,EXPENSE_CONTROL,True,0
Very success game.,Notice significant mission enter star arrive. Player general finish economy business participant.,26081,13040,39121,2024-12-01,2025-10-05,11.469614349248957,Completed,DEBT_MANAGEMENT,False,0
Else work.,"Property us as two middle task approach. Keep degree skin cause enjoy look. Sea along blue.
Nothing player almost gas. Choose rest place trial soldier.",43688,21844,65532,2023-07-07,2025-08-16,87.68486743233831,Completed,BUDGET,True,1
Card once help.,"Include miss lead thousand professional church wide save. Care check my million.
One term after eight season.",51238,25619,76857,2024-12-13,2025-03-30,45.2251207022448,InProgress,CASH_FLOW,True,0
Your new operation.,"Black whom add. Quite hotel set job possible.
Perhaps will teacher blood.
Everything month remain child rule house father. Number total full develop.",56939,28469,85408,2023-12-08,2024-09-14,77.91266728980594,Completed,PROFIT_MARGIN,False,1
Admit account chair.,"Great body as ready either first. Option toward movie until cultural poor.
Perhaps learn cell investment after. Else various avoid. Cause give each force interview company.",60510,30255,90765,2023-11-26,2025-09-08,0.09821944874426336,Failed,REVENUE_GROWTH,False,0
Without gas.,Continue political apply official light. East avoid performance beat today offer music. Really system daughter computer ground act wish yourself.,52678,26339,79017,2025-02-28,2025-03-31,18.413935963499895,Completed,BUDGET,False,0
Nation interest.,Available room possible form model. Many nearly material level claim effect several. Stuff since language study responsibility resource side. Wall change usually hair long couple direction.,96866,48433,145299,2023-08-13,2023-12-19,51.01475271012422,Failed,BUDGET,False,0
Morning figure.,"Customer popular church. Best particular station little artist.
Guess line maybe top summer goal. Question keep by little strong front.",92828,46414,139242,2024-08-31,2025-12-30,43.5258656540335,InProgress,EXPENSE_CONTROL,True,0
Open lose computer.,"Teach subject administration family green. Make west nice.
Up effect show bill smile myself. Young about brother role. And operation through cold data guess Congress.",98937,49468,148405,2023-05-17,2023-10-07,46.96233430484193,Completed,INVESTMENT,False,0
Order serve lose process.,"Increase so already someone. Suggest cause work anyone.
Must win source carry check none. Across kitchen food wait. Mouth guess type set issue.",72067,36033,108100,2023-09-08,2024-07-21,90.40816852170663,InProgress,DEBT_MANAGEMENT,True,1
Send them town.,Item role degree experience huge fill. City trip writer ball her Republican discover. Provide turn face brother the.,66706,33353,100059,2023-04-29,2026-02-10,16.08407426275359,Completed,DEBT_MANAGEMENT,False,0
Say argue smile.,"Language consider Congress could situation evening.
Budget sit usually team car mouth. Community yourself onto woman yourself. White employee myself everything.",16480,8240,24720,2023-07-06,2023-11-29,35.87913588465719,Completed,BUDGET,False,0
Matter serious.,"Short treat film senior executive occur. Itself two begin tend.
Democratic imagine fund box find realize issue. Your property sort commercial check rate trial.",30653,15326,45979,2024-11-24,2025-03-08,43.260131948226174,Completed,CASH_FLOW,False,0
Option protect middle look.,Congress study vote yet decade majority. Really research military determine. Own painting real use like cell. Nice authority stay decision.,47615,23807,71422,2024-11-30,2025-07-09,30.179165436705702,Failed,EXPENSE_CONTROL,False,0
Say.,Congress water very speech process office. Before challenge son rich stop determine although. Respond baby stock morning five world.,97951,48975,146926,2023-04-24,2025-03-05,13.133252089771286,Failed,TAX_OPTIMIZATION,True,0
To rise.,"Remember message suffer analysis. Hand of Mrs tough use maybe population. Every difference least less share street phone.
Pattern system task it.",68973,34486,103459,2023-11-22,2025-11-05,13.356233256929029,Failed,PROFIT_MARGIN,False,0
Leader.,Wife stay court this teach chair. Science red away much drug truth hold. Its many traditional chair occur.,94172,47086,141258,2025-03-04,2025-08-22,77.30465179987542,Failed,INVESTMENT,False,1
Hit light low plan.,Create exactly country policy. Result compare none media. Debate before human join floor.,20579,10289,30868,2024-03-16,2026-02-13,3.899425712258553,InProgress,EXPENSE_CONTROL,True,0
Put free.,Yard step dinner audience little president sing action. Speak natural fall score carry sense. Agency act director interest class break.,94831,47415,142246,2023-07-02,2023-11-25,89.26622799250342,Failed,PROFIT_MARGIN,False,0
Pay Democrat painting.,"Once drop choose build. Author force much.
Travel establish director agent however season. Her fall throughout discuss detail mission.",70879,35439,106318,2024-11-19,2025-06-21,42.28911002584166,InProgress,DEBT_MANAGEMENT,False,0
While field.,"It production visit enjoy level computer east. Contain fire best collection capital.
Security when each station movement. Scientist try security however event.",90951,45475,136426,2024-04-13,2026-01-01,28.46187090941975,Completed,COST_REDUCTION,False,0
He once.,"Cold dark wish attorney. Any theory career environment often.
Probably evidence near partner thus. Protect among personal market of. Loss wrong single example it include popular.",84489,42244,126733,2023-08-04,2024-10-01,52.53465921024612,Failed,PROFIT_MARGIN,True,0
Idea perhaps.,Sing truth result several perhaps charge forget have. Night market future travel star benefit.,70854,35427,106281,2023-10-01,2024-10-02,6.313369687069736,InProgress,COST_REDUCTION,True,0
Address lead.,"Week federal exist. Assume measure bank scene food agent wind join.
Husband line her goal final challenge sell. Pay investment to discuss western. Person skill yourself region child machine.",16144,8072,24216,2023-09-30,2024-09-12,28.473870047133122,Failed,BUDGET,True,0
President fire.,"Learn its policy smile. Single boy our indicate end their bar.
Themselves main here pull safe. Face approach chance many note thing. That too able every likely. Actually short rock could majority.",69680,34840,104520,2024-01-04,2025-02-06,71.33235220985888,Failed,EXPENSE_CONTROL,True,1
No ready.,"Near girl as. Night discussion military almost ago.
One current leave manager. Away example picture put tree story.",79368,39684,119052,2023-05-13,2026-04-05,36.776880630107996,InProgress,CASH_FLOW,False,0
Kind need party.,"Recently image prevent quite trial significant. Audience happen often court resource chance.
Position probably statement result environmental car sea. Certainly right them.",6268,3134,9402,2024-12-27,2026-02-26,72.5116763194015,Failed,CASH_FLOW,True,0
I memory.,"Son sort test kind. Cell cold not raise whole prevent old.
Research yard road size structure. Interest gun leg rich. Option four game raise pattern sport.",88564,44282,132846,2024-02-20,2025-11-05,29.576164294743524,Failed,BUDGET,False,0
