amount,days_to_due,category,project_status,status
1658.217027362133,39,Other,Delayed,OVERDUE
639.2544301856161,20,Consulting,In Progress,PAID
1216.8822964555143,5,Products,Delayed,OVERDUE
2192.828164268656,1,Services,Completed,PAID
4108.2723530202165,30,Other,PENDING,PAID
4317.579857956083,49,Freelance,In Progress,CANCELLED
134.06543960283443,3,Other,Completed,PAID
2602.661782630072,45,Freelance,PENDING,OVERDUE
2145.313915429017,14,Services,In Progress,PAID
1188.3282713065782,56,Freelance,Delayed,OVERDUE
687.3402999350458,30,Maintenance,Completed,PAID
1754.314339877777,50,Maintenance,PENDING,CANCELLED
4720.257549171344,4,Maintenance,In Progress,PAID
1683.6943669017007,18,Consulting,In Progress,CANCELLED
2642.0740465424938,37,Services,Delayed,CANCELLED
3544.7928985863714,25,Other,PENDING,PAID
1881.7850516585404,48,Other,Delayed,PAID
4861.732205332707,1,Consulting,Delayed,PAID
4815.991745216345,53,Freelance,PENDING,OVERDUE
1333.7332495442843,46,Consulting,PENDING,PAID
2536.5176788726885,15,Freelance,PENDING,PAID
1574.3037181021714,9,Freelance,Completed,PAID
1495.7184224495913,15,Products,PENDING,PAID
280.7460420372107,49,Other,In Progress,PAID
3086.8652365014946,57,Maintenance,Delayed,OVERDUE
2563.1272138214213,24,Freelance,Completed,CANCELLED
352.2458811249478,4,Products,PENDING,PAID
1465.367674759396,12,Other,Completed,PAID
4550.502841236603,59,Maintenance,PENDING,OVERDUE
1273.8532642681648,58,Freelance,Completed,OVERDUE
809.9848732469932,37,Freelance,Delayed,CANCELLED
2498.3185253600586,37,Consulting,Delayed,CANCELLED
4929.687225141944,43,Consulting,In Progress,CANCELLED
1286.0708304063521,6,Other,In Progress,PAID
3393.4641822888047,39,Maintenance,PENDING,CANCELLED
3831.936115110716,56,Freelance,Delayed,CANCELLED
1264.4239655627584,46,Other,Completed,PAID
3668.260108198112,24,Other,Completed,CANCELLED
1902.1373503243408,11,Services,Completed,PAID
3198.2985699085393,13,Consulting,In Progress,OVERDUE
3204.295582728384,34,Maintenance,Completed,OVERDUE
2725.2959519663164,25,Freelance,In Progress,PAID
542.4198732666007,7,Other,In Progress,OVERDUE
4192.982228387265,52,Freelance,PENDING,OVERDUE
1671.8223183615055,4,Services,Completed,PAID
1013.9407009592858,59,Maintenance,Completed,PAID
299.7981936183432,8,Other,Delayed,PAID
2995.3754216223847,20,Freelance,PENDING,PAID
3420.065373027184,29,Consulting,Delayed,PAID
181.28036174649515,54,Services,PENDING,OVERDUE
2609.2559856664766,53,Maintenance,Completed,CANCELLED
1209.829298469896,51,Services,In Progress,PAID
3261.346673006304,45,Consulting,In Progress,CANCELLED
954.3955021244581,46,Maintenance,In Progress,OVERDUE
3485.594916702083,10,Services,In Progress,OVERDUE
1995.0031968726332,43,Products,In Progress,PAID
4689.976944809999,34,Consulting,Delayed,OVERDUE
773.8526263153669,57,Consulting,PENDING,PAID
1771.2251201462666,26,Consulting,Completed,PAID
656.0202540788864,41,Products,Delayed,PAID
4630.998729564958,49,Products,PENDING,OVERDUE
4398.962831566807,58,Freelance,In Progress,OVERDUE
1363.9139758042625,3,Other,PENDING,PAID
3333.9218255674773,56,Services,PENDING,OVERDUE
4104.388780985957,6,Freelance,In Progress,OVERDUE
2820.4839768373654,5,Services,In Progress,PAID
2695.287833944432,5,Other,In Progress,PAID
1285.0762254122133,54,Products,Completed,OVERDUE
556.2035622489061,47,Other,In Progress,PAID
4496.3572139713015,23,Products,Completed,OVERDUE
4512.0484801003195,49,Other,In Progress,CANCELLED
3202.197140639013,9,Freelance,Completed,PAID
1761.2459761386333,35,Maintenance,PENDING,OVERDUE
1811.1269156020383,20,Freelance,Delayed,PAID
3657.182826464173,58,Services,PENDING,OVERDUE
4495.840273767628,49,Freelance,PENDING,OVERDUE
4446.7234788990745,59,Consulting,In Progress,OVERDUE
3921.390174702357,42,Services,Completed,CANCELLED
3245.95506615601,35,Other,Delayed,OVERDUE
512.2858284757392,50,Services,In Progress,PAID
891.9806990636075,18,Maintenance,In Progress,PAID
4502.915523782688,17,Products,In Progress,PAID
3071.5023923319904,24,Other,PENDING,PAID
145.06555292148528,3,Services,Completed,PAID
597.2105600435573,32,Other,Completed,OVERDUE
3351.1586686294736,35,Other,Delayed,OVERDUE
124.80176084647157,38,Other,Completed,PAID
887.9594519457434,13,Products,Completed,PAID
2788.795567896272,56,Freelance,In Progress,OVERDUE
3490.286468694197,47,Other,In Progress,CANCELLED
3294.6101715627424,25,Consulting,PENDING,PAID
1198.9196163567428,9,Maintenance,In Progress,PAID
3589.6781846029257,4,Products,In Progress,PAID
1262.5205287343204,14,Services,In Progress,OVERDUE
1694.4585209804118,37,Products,In Progress,OVERDUE
3757.807885078318,34,Services,PENDING,OVERDUE
3283.201205331352,11,Products,In Progress,OVERDUE
4261.194711421472,41,Services,Delayed,OVERDUE
3322.3031722716823,56,Other,Delayed,CANCELLED
2884.712156343811,3,Freelance,Delayed,OVERDUE
559.0063623576532,59,Services,Delayed,PAID
1901.8074349912242,28,Services,In Progress,PAID
1399.4916016404547,29,Consulting,Delayed,PAID
1295.5492525575096,9,Services,In Progress,PAID
4867.751718286983,3,Consulting,PENDING,CANCELLED
2026.178850867126,25,Maintenance,Delayed,PAID
4471.028120367855,34,Other,Completed,OVERDUE
3192.579267386588,12,Consulting,Delayed,OVERDUE
3994.575387354077,42,Freelance,Delayed,OVERDUE
2562.9217562154413,9,Other,In Progress,PAID
2926.8290346691597,15,Consulting,Delayed,PAID
2513.336699712433,40,Other,Completed,OVERDUE
1056.690640210418,25,Other,In Progress,OVERDUE
3640.015364781376,5,Other,In Progress,PAID
1475.7845759601935,11,Maintenance,PENDING,PAID
219.14823551412383,59,Freelance,PENDING,PAID
3262.8142499451224,34,Products,Delayed,OVERDUE
967.8423290945399,24,Products,PENDING,OVERDUE
4708.24706332928,15,Consulting,PENDING,PAID
4774.250027312678,38,Other,PENDING,OVERDUE
4582.835512080198,8,Consulting,In Progress,CANCELLED
1913.7776312516776,59,Maintenance,In Progress,OVERDUE
175.7374209914504,5,Maintenance,In Progress,PAID
4648.760956679855,48,Services,PENDING,OVERDUE
2198.1023267548403,26,Maintenance,In Progress,OVERDUE
4836.608613313981,18,Services,PENDING,OVERDUE
4821.7378877373385,6,Freelance,In Progress,PAID
4279.746331790065,37,Consulting,In Progress,CANCELLED
1542.7995711409699,48,Freelance,Completed,PAID
1986.9788701494338,13,Maintenance,Delayed,PAID
4270.569690432599,28,Freelance,PENDING,PAID
1652.9178252657605,5,Freelance,Completed,PAID
930.5144587618532,13,Freelance,In Progress,OVERDUE
2828.3261860459156,17,Maintenance,PENDING,PAID
4687.158393387826,50,Other,In Progress,OVERDUE
3510.5460037073676,40,Freelance,Delayed,CANCELLED
2893.2997334378883,45,Services,Completed,OVERDUE
576.1648194767658,32,Maintenance,Delayed,PAID
3113.5354108259316,29,Freelance,Completed,PAID
4951.26386551089,51,Other,In Progress,OVERDUE
786.4116746589677,58,Maintenance,Delayed,PAID
2639.81529658231,3,Products,Delayed,OVERDUE
4399.128052446981,56,Other,In Progress,OVERDUE
3729.7662269956018,40,Services,Delayed,OVERDUE
3515.377130876813,34,Freelance,PENDING,CANCELLED
3542.1720115368353,40,Products,Completed,OVERDUE
1861.5066409768003,27,Products,Completed,PAID
1538.6000368960174,13,Maintenance,Completed,PAID
4065.8696618447166,45,Products,PENDING,OVERDUE
4069.5556339279856,33,Services,Completed,OVERDUE
4348.654361042508,6,Services,In Progress,PAID
4574.878707526709,24,Consulting,Delayed,PAID
2605.5777544185953,19,Services,PENDING,CANCELLED
2557.429843967278,16,Other,Completed,PAID
4011.646376937198,40,Products,In Progress,CANCELLED
3284.8232608110493,28,Services,Delayed,PAID
3539.637698562746,33,Maintenance,Delayed,CANCELLED
3999.384080236895,59,Consulting,PENDING,OVERDUE
4461.026174906075,59,Products,PENDING,CANCELLED
1756.1762685725255,48,Consulting,PENDING,PAID
1940.3564679357257,41,Products,In Progress,PAID
560.5115052202581,13,Maintenance,In Progress,PAID
2933.5726908812526,43,Consulting,PENDING,CANCELLED
276.1171416040362,45,Freelance,Completed,PAID
2381.4302888490547,25,Other,Delayed,PAID
2758.9587100671256,53,Other,Delayed,OVERDUE
1504.0521354285936,42,Products,In Progress,PAID
2995.082976788153,36,Freelance,Delayed,OVERDUE
249.4512247013422,27,Consulting,Completed,PAID
283.00612487115063,38,Freelance,Delayed,OVERDUE
4130.742747232325,7,Freelance,In Progress,OVERDUE
1864.9341429151882,5,Consulting,In Progress,CANCELLED
722.5965119942355,43,Maintenance,Completed,PAID
2658.9919742685415,45,Freelance,Completed,CANCELLED
3872.968410183193,58,Freelance,Delayed,CANCELLED
1157.5230347345316,57,Maintenance,Delayed,OVERDUE
3152.163331513101,51,Freelance,In Progress,OVERDUE
518.2025784694631,31,Freelance,Completed,PAID
353.2404337261777,23,Freelance,Completed,PAID
2703.637694683925,42,Other,Completed,OVERDUE
2749.112095889522,10,Services,Delayed,PAID
3223.4065173412123,32,Maintenance,Completed,OVERDUE
3657.8475352410414,43,Freelance,In Progress,CANCELLED
4881.6751893664195,53,Other,In Progress,CANCELLED
2629.8717066758572,30,Maintenance,Delayed,CANCELLED
1682.4867174121052,39,Products,PENDING,OVERDUE
3996.412354366648,31,Products,Delayed,OVERDUE
1427.0780311841636,18,Freelance,PENDING,PAID
2250.959961457617,36,Other,Completed,OVERDUE
484.4362685771032,2,Other,Delayed,PAID
224.2186427357418,14,Maintenance,In Progress,PAID
4816.977231921833,13,Maintenance,Completed,PAID
4196.302590509808,29,Other,In Progress,PAID
3510.27360985912,12,Maintenance,Completed,CANCELLED
2103.8694276299225,39,Other,Delayed,OVERDUE
949.1421683471443,2,Services,PENDING,OVERDUE
866.5415090883216,32,Other,Completed,OVERDUE
1326.190201006517,13,Products,PENDING,PAID
2791.2106570599904,46,Maintenance,Completed,OVERDUE
3601.5200212303052,27,Other,In Progress,PAID
3334.967145916883,49,Other,In Progress,OVERDUE
1471.67609503512,41,Maintenance,Completed,OVERDUE
4778.839875249651,17,Services,PENDING,PAID
3715.6948918092658,40,Services,Delayed,OVERDUE
2816.3348573058634,31,Maintenance,Delayed,OVERDUE
3097.431656548326,34,Consulting,In Progress,CANCELLED
2156.0403058961706,24,Maintenance,Delayed,OVERDUE
1313.8818485556715,45,Maintenance,In Progress,OVERDUE
1844.2661253911817,35,Services,Delayed,PAID
3813.4459412754086,48,Services,Completed,CANCELLED
170.52809428580377,6,Maintenance,In Progress,PAID
668.7559384838895,19,Maintenance,In Progress,OVERDUE
325.41294590658845,30,Maintenance,Completed,OVERDUE
299.5711313629537,7,Services,In Progress,PAID
4291.756861653936,10,Maintenance,Delayed,CANCELLED
3547.923510962116,41,Maintenance,Delayed,CANCELLED
2423.4517625278936,32,Freelance,In Progress,OVERDUE
579.3873871899073,34,Consulting,Delayed,PAID
2508.9177880724787,28,Products,PENDING,CANCELLED
2420.0116768247717,15,Consulting,In Progress,PAID
948.6891625590744,30,Freelance,Completed,PAID
2225.873081266068,37,Products,PENDING,CANCELLED
2052.6731985471297,29,Maintenance,In Progress,PAID
3117.6654804558607,22,Freelance,Completed,PAID
3211.958889251455,4,Maintenance,Delayed,PAID
321.98964788301816,20,Services,Completed,PAID
1935.601811669709,32,Other,PENDING,PAID
3166.7135869997583,36,Freelance,Delayed,OVERDUE
2565.3676670424297,50,Services,In Progress,OVERDUE
4296.800221822779,4,Freelance,Delayed,PAID
3327.5987949328305,27,Freelance,In Progress,OVERDUE
898.3786926990055,17,Services,In Progress,OVERDUE
445.78686226210624,12,Products,Completed,PAID
3247.8544632109465,22,Consulting,Completed,OVERDUE
229.9054216539469,17,Maintenance,Completed,PAID
2970.30034823997,10,Freelance,PENDING,PAID
4707.128182982292,54,Maintenance,PENDING,OVERDUE
2919.823471591807,1,Other,Completed,CANCELLED
2002.0326384119574,22,Services,PENDING,PAID
3252.1122703675305,26,Maintenance,Delayed,PAID
2345.4391634084313,56,Services,Delayed,OVERDUE
2773.522267648081,59,Maintenance,PENDING,OVERDUE
4713.177563004973,18,Consulting,PENDING,PAID
1991.9029252237938,50,Consulting,Delayed,PAID
4809.833762737179,14,Consulting,In Progress,OVERDUE
4536.218145584712,47,Consulting,Delayed,CANCELLED
1059.3765604675525,29,Consulting,Delayed,PAID
439.8703742883107,12,Consulting,PENDING,PAID
593.8122067493906,36,Services,Delayed,PAID
189.28694569259366,59,Freelance,PENDING,PAID
562.7705077040491,35,Maintenance,PENDING,PAID
3446.7331897401486,52,Consulting,Completed,OVERDUE
448.82437745512203,12,Services,Delayed,PAID
1662.9805884394304,7,Services,In Progress,PAID
4239.889023750327,29,Services,Completed,PAID
214.03248510554675,11,Freelance,PENDING,PAID
4090.8955646857853,33,Maintenance,PENDING,OVERDUE
1481.0883963896597,6,Freelance,In Progress,OVERDUE
679.0076553461156,47,Products,PENDING,PAID
3514.012110284338,15,Services,Delayed,CANCELLED
3181.8199492214317,32,Products,Completed,OVERDUE
4399.6128662825595,51,Other,PENDING,CANCELLED
3701.8481146390404,11,Consulting,PENDING,OVERDUE
4037.056558885758,58,Consulting,In Progress,OVERDUE
1481.9694055994019,23,Freelance,Delayed,PAID
969.4537645206418,26,Maintenance,PENDING,OVERDUE
3778.012283040206,34,Products,In Progress,OVERDUE
4053.4902224095936,46,Maintenance,PENDING,CANCELLED
4953.475195803299,34,Freelance,In Progress,OVERDUE
2121.8266168659898,29,Consulting,In Progress,CANCELLED
1922.8886203846375,4,Maintenance,Delayed,PAID
3904.4235076357845,17,Maintenance,PENDING,OVERDUE
1769.9373472397874,35,Consulting,Delayed,OVERDUE
4660.710895457467,13,Products,In Progress,OVERDUE
4306.222484030758,41,Consulting,Completed,OVERDUE
2202.07073413759,39,Maintenance,PENDING,OVERDUE
3779.2682321783373,15,Products,Completed,PAID
3797.2600830149436,55,Products,PENDING,CANCELLED
605.3069572960698,29,Consulting,Delayed,PAID
4522.509242729877,29,Maintenance,Delayed,OVERDUE
2575.7366249945,11,Freelance,Delayed,PAID
4149.641583927934,52,Maintenance,Delayed,CANCELLED
1668.2430450499976,32,Services,Delayed,OVERDUE
4488.063819631382,2,Other,Completed,OVERDUE
2007.0882257973992,47,Freelance,Delayed,OVERDUE
153.10449225346196,14,Products,In Progress,PAID
4536.3716844543915,20,Freelance,In Progress,CANCELLED
547.3047162520545,22,Products,Completed,PAID
1664.636824193033,11,Products,PENDING,PAID
4755.303638548944,27,Freelance,In Progress,OVERDUE
4757.9750199940245,3,Products,PENDING,OVERDUE
2909.845651804102,17,Products,Completed,PAID
3196.0023396320166,44,Services,PENDING,OVERDUE
2297.3830576937667,56,Maintenance,PENDING,CANCELLED
1536.732781320516,28,Maintenance,PENDING,PAID
1710.4562723125882,29,Other,PENDING,CANCELLED
3395.340434777488,21,Other,Completed,PAID
3786.635194244632,47,Services,In Progress,OVERDUE
3978.737314256658,16,Other,Delayed,PAID
3969.128899693314,37,Freelance,PENDING,OVERDUE
546.9099049385828,59,Consulting,In Progress,CANCELLED
2522.659493042649,20,Consulting,In Progress,PAID
382.037924081557,6,Consulting,Completed,PAID
2792.691523386304,19,Services,In Progress,PAID
2263.4994567295475,57,Services,Completed,OVERDUE
4449.750495515669,5,Products,PENDING,PAID
1819.4835615051857,3,Consulting,PENDING,PAID
673.6283804952687,59,Freelance,Delayed,PAID
800.6592420588956,1,Other,Delayed,OVERDUE
3831.402095415614,58,Freelance,Delayed,OVERDUE
3129.2685102496794,38,Other,In Progress,OVERDUE
595.5011130016721,15,Consulting,PENDING,PAID
512.1233499634875,34,Consulting,Completed,OVERDUE
3534.748744149688,35,Consulting,Delayed,OVERDUE
456.5387311845483,49,Services,Completed,PAID
4127.114290522745,25,Other,Completed,PAID
3560.5869130668316,24,Services,Delayed,CANCELLED
498.60902514530886,12,Services,PENDING,PAID
515.7047990174403,18,Maintenance,Delayed,OVERDUE
4934.533934655759,15,Freelance,Completed,PAID
1933.9268992049895,44,Freelance,Delayed,PAID
1916.1465206277655,16,Products,Completed,OVERDUE
4082.7178795617624,27,Services,Completed,PAID
4741.518029180907,8,Other,Delayed,OVERDUE
4931.405212732067,46,Maintenance,In Progress,CANCELLED
3791.553107768814,25,Maintenance,Delayed,OVERDUE
1943.6719691014873,17,Freelance,In Progress,PAID
509.15351182347695,29,Services,Completed,OVERDUE
3908.0198880444404,53,Products,Completed,OVERDUE
2836.1808237054447,8,Services,In Progress,OVERDUE
2178.687845310184,15,Consulting,Completed,OVERDUE
4541.136486964207,27,Services,In Progress,OVERDUE
644.8676633001415,46,Consulting,In Progress,PAID
2513.8630110252097,50,Consulting,Completed,OVERDUE
155.63285936035345,52,Products,PENDING,PAID
2396.4371457712186,7,Other,In Progress,OVERDUE
375.886050841003,3,Freelance,Delayed,PAID
682.2077897135524,29,Services,Delayed,PAID
675.878609207814,44,Consulting,Completed,OVERDUE
3281.1304803687117,53,Services,PENDING,OVERDUE
3755.6199084005743,24,Other,Completed,PAID
2958.506948976082,58,Freelance,PENDING,OVERDUE
4814.645487525256,3,Other,In Progress,PAID
1936.86583966615,20,Freelance,In Progress,PAID
1499.9892227811176,46,Maintenance,In Progress,PAID
4356.135728128355,15,Freelance,In Progress,PAID
1195.619608745318,25,Products,Delayed,PAID
4819.790443258996,30,Other,Delayed,OVERDUE
159.55692598010006,14,Consulting,Completed,PAID
4852.4062508674315,7,Maintenance,PENDING,PAID
311.483568557823,17,Products,In Progress,OVERDUE
4466.601257120548,44,Services,In Progress,OVERDUE
2685.735434522869,20,Other,PENDING,PAID
4965.527500984572,36,Consulting,PENDING,CANCELLED
461.6031672034544,9,Freelance,Completed,OVERDUE
2813.885993566472,38,Consulting,PENDING,CANCELLED
4849.582424533585,48,Services,In Progress,CANCELLED
2663.1794364337293,57,Maintenance,In Progress,CANCELLED
3184.0533268627864,22,Maintenance,In Progress,PAID
3509.168576024624,54,Other,In Progress,CANCELLED
2327.251217362089,53,Maintenance,In Progress,OVERDUE
3175.034592411911,53,Other,Completed,CANCELLED
2963.140128423191,2,Other,In Progress,PAID
4515.674251405846,24,Other,Completed,PAID
322.68726367314355,8,Freelance,In Progress,PAID
1476.7196290019285,11,Products,Delayed,OVERDUE
4757.016271975138,13,Other,Delayed,PAID
4462.29254106549,17,Other,Delayed,OVERDUE
2332.718088649993,8,Products,Delayed,OVERDUE
3138.64972922753,21,Consulting,Completed,PAID
1459.1677966075501,18,Other,Completed,OVERDUE
1021.7936826464304,30,Freelance,PENDING,OVERDUE
2372.1221842059126,18,Maintenance,In Progress,OVERDUE
1831.425917327659,46,Maintenance,Delayed,PAID
2959.914948069273,47,Services,Completed,OVERDUE
480.8997211284257,31,Services,In Progress,PAID
4874.534557564216,38,Maintenance,In Progress,OVERDUE
4932.432647950054,32,Maintenance,Completed,CANCELLED
3520.992398696751,11,Freelance,Delayed,PAID
2726.87219508619,45,Products,PENDING,CANCELLED
1616.685319803006,25,Services,In Progress,PAID
4087.5955965640487,33,Products,PENDING,OVERDUE
3455.1827455140083,38,Freelance,Delayed,CANCELLED
896.8230027899674,41,Maintenance,Delayed,OVERDUE
4563.543204019828,8,Other,PENDING,PAID
4130.432490323528,11,Products,Delayed,PAID
4754.019575130428,22,Maintenance,In Progress,PAID
3656.025591102964,51,Maintenance,PENDING,OVERDUE
3105.7344600853703,24,Consulting,Delayed,PAID
2149.3908778240325,41,Products,PENDING,OVERDUE
4670.369568434665,17,Other,In Progress,PAID
4343.713058552001,12,Products,Delayed,OVERDUE
321.5714835203281,57,Maintenance,In Progress,PAID
229.19817503653482,46,Other,Delayed,PAID
1944.670497702443,32,Freelance,Completed,PAID
4071.711320830981,15,Consulting,Delayed,OVERDUE
4937.653033643228,16,Maintenance,PENDING,OVERDUE
837.0427664072881,54,Services,Delayed,PAID
3011.240505225462,22,Services,In Progress,OVERDUE
1966.3651974920053,28,Consulting,In Progress,PAID
4852.580549291556,20,Freelance,Delayed,PAID
4226.382723364973,33,Maintenance,PENDING,OVERDUE
4207.810653084575,10,Products,Completed,PAID
2396.5964829953546,40,Consulting,PENDING,CANCELLED
2132.6155614545596,32,Freelance,Completed,CANCELLED
1439.6946524604605,50,Products,In Progress,PAID
376.2399335895429,33,Services,PENDING,PAID
4337.139643649761,2,Services,Completed,PAID
4083.21494473738,33,Products,Delayed,OVERDUE
4998.61659910204,33,Consulting,In Progress,OVERDUE
4983.520501662137,41,Services,Delayed,OVERDUE
2821.6153574528744,13,Maintenance,In Progress,PAID
3868.0383343845015,30,Other,PENDING,PAID
4729.352076423897,33,Products,PENDING,OVERDUE
4263.272214319316,13,Products,In Progress,PAID
1312.0056985416686,52,Services,In Progress,OVERDUE
2307.6662630194583,26,Consulting,In Progress,PAID
732.8811342423254,22,Maintenance,PENDING,CANCELLED
4774.85003356774,39,Consulting,Completed,OVERDUE
3070.255708809312,2,Freelance,Delayed,OVERDUE
1220.3497469669674,38,Freelance,Delayed,OVERDUE
3391.333353588698,39,Other,PENDING,OVERDUE
3128.8283782436897,26,Services,Delayed,PAID
1854.9973183609184,46,Services,In Progress,OVERDUE
656.4322017781822,58,Services,Completed,PAID
3390.708658404718,50,Other,Delayed,OVERDUE
2649.5077344285874,15,Freelance,Completed,PAID
3884.3601195046326,34,Consulting,In Progress,OVERDUE
2648.8011554487675,42,Other,Delayed,OVERDUE
4275.689351560846,55,Other,PENDING,CANCELLED
2804.3435099949793,44,Consulting,Completed,OVERDUE
2848.5960605233927,49,Services,In Progress,OVERDUE
4395.6026530258905,40,Maintenance,Completed,CANCELLED
2077.066044440746,11,Consulting,Delayed,PAID
756.6746194081396,3,Freelance,Delayed,CANCELLED
